,Unnamed: 0,X,x,y,Labels,Energy,Magnetization,Temp,Min_distance
0,1197601,1197600,-36.876494581982996,-0.4053693470088,2,1428,0.93125,1.9,10.619134866137983
1,1197602,1197601,37.7255672900494,0.867600584383974,1,1442,0.93375,1.9,10.93151232412912
2,1197603,1197602,37.375994268861,-0.598048913428075,1,1416,0.925,1.9,10.680036927515856
3,1197604,1197603,-37.326589422978,0.0976822814327069,2,1440,0.9425,1.9,10.824000225294284
4,1197605,1197604,-36.8253703268716,-0.6353715627778729,2,1446,0.93,1.91166666666667,10.604678325378611
5,1197606,1197605,36.977609119658105,0.171599147318164,1,1426,0.915,1.91166666666667,10.517041117125155
6,1197607,1197606,37.9276384547312,-0.5136764934708461,1,1452,0.93875,1.91166666666667,10.958226080442303
7,1197608,1197607,38.8272448270052,-0.191767291856228,1,1496,0.96125,1.91166666666667,11.419545058812254
8,1197609,1197608,-36.1774872665747,0.398885082555149,2,1396,0.91375,1.9233333333333302,10.241482655399098
9,1197610,1197609,38.027143731958795,0.251271541118323,1,1440,0.94125,1.9233333333333302,11.043006918475493
10,1197611,1197610,-35.5270957671357,-1.7088973734094899,2,1384,0.8975,1.9233333333333302,10.031031999181053
11,1197612,1197611,38.0257796804551,0.135115141088934,1,1444,0.94125,1.9233333333333302,11.036142108073987
12,1197613,1197612,-36.327258043724605,0.709104411477648,2,1400,0.9175,1.935,10.309088049571903
13,1197614,1197613,37.7763605030742,0.7060771395981459,1,1428,0.935,1.935,10.945803653681144
14,1197615,1197614,-37.9771673148951,0.032778990139036,2,1482,0.95875,1.935,11.150717674367726
15,1197616,1197615,-37.3260696493345,-0.21074720325129898,2,1432,0.9425,1.935,10.83487750410101
16,1197617,1197616,-37.576476372442706,-0.86591583097782,2,1462,0.94875,1.9466666666666699,10.990224127184613
17,1197618,1197617,36.9267750496547,0.26169185191919303,1,1402,0.91375,1.9466666666666699,10.496879047389498
18,1197619,1197618,37.927514748913204,-0.419102753149175,1,1448,0.93875,1.9466666666666699,10.961815235560683
19,1197620,1197619,-36.526257890939796,0.222352779550463,2,1422,0.9225,1.9466666666666699,10.420686996414565
20,1197621,1197620,-37.976728664819,0.312308074971628,2,1494,0.95875,1.9583333333333302,11.142128988470652
21,1197622,1197621,38.0763111821241,-0.0864618388210735,1,1448,0.9425,1.9583333333333302,11.05033324718599
