,x,y,Labels,Energy,Magnetization,Temp
1271,-4.285314445600142,-11.62059020695115,1,282.0,0.21,1.8210000000000002
1272,-19.399067780958546,3.335458362038775,2,380.0,0.975,1.834
1273,19.892671022636264,1.8064162255768712,0,382.0,0.975,1.834
1274,1.2696847393995456,0.8069386280011148,1,264.0,0.05,1.834
1275,-0.89182214318749,-12.387947870804906,1,288.0,0.04,1.834
1276,-18.80071652341296,2.953356827067013,2,362.0,0.945,1.847
1277,19.693345941159105,1.936161377702161,0,374.0,0.965,1.847
1278,-6.219741888620531,8.185316924605052,2,262.0,0.325,1.847
1279,0.5806817410503909,-11.69574303239206,1,288.0,0.03,1.847
1280,-17.59305139176885,4.142951252158794,2,338.0,0.885,1.86
1281,19.588156809497935,1.6843900424181408,0,376.0,0.96,1.86
1282,-10.318540407954602,5.6113889958279755,2,258.0,0.525,1.86
1283,3.2179505319305886,-8.58439800538755,1,282.0,0.16,1.86
1284,-19.300165429147746,3.42129390116024,2,380.0,0.97,1.873
1285,20.011643449118743,2.6830027793738993,0,386.0,0.98,1.873
1286,-3.0130435864533953,1.4711050482402441,1,260.0,0.16,1.873
1287,-1.8699929901948635,-11.531205893695182,1,300.0,0.09,1.873
1288,-19.31231774153882,3.0084370719001203,2,378.0,0.97,1.8860000000000001
1289,19.794224677433277,2.1447266187209553,0,376.0,0.97,1.8860000000000001
1290,7.829564450407007,3.8936941137455436,0,248.0,0.375,1.8860000000000001
1291,-0.5815021938243877,-11.506666441937941,1,270.0,0.025,1.8860000000000001
1292,-18.500615663452233,3.195600718114965,2,360.0,0.93,1.899
1293,19.494362564459173,2.1586826454535615,0,370.0,0.955,1.899
1294,6.126213213226473,4.3657921727462705,0,252.0,0.29,1.899
1295,0.11206117215978548,-10.343141923603413,1,300.0,0.005,1.899
1296,-19.1226919012714,2.5031372950207147,2,370.0,0.96,1.912
1297,19.09611261828456,2.4577783734903593,0,364.0,0.935,1.912
1298,9.151878324513248,-0.9154859600211614,0,262.0,0.445,1.912
1299,-3.9517456354594986,-9.636417855875548,1,274.0,0.195,1.912
1300,-19.009980317252314,2.967159709122203,2,368.0,0.955,1.925
1301,19.80732646136961,2.3441346679826176,0,378.0,0.97,1.925
