"","X","x","y","Labels","Energy","Magnetization","Temp"
"1195201",1195200,-37.228854657555,0.343479530486241,2,1452,0.94,1.9
"1195202",1195201,38.1763252326764,0.523392392367134,1,1448,0.945,1.9
"1195203",1195202,38.5284902545239,-0.427932873619328,1,1476,0.95375,1.9
"1195204",1195203,-37.4255380537811,-0.280527694411588,2,1452,0.945,1.9
"1195205",1195204,-37.5256768356828,-0.407505769029487,2,1472,0.9475,1.91166666666667
"1195206",1195205,37.7759324217763,0.276264371735699,1,1444,0.935,1.91166666666667
"1195207",1195206,38.22735556975,0.084122487223695,1,1460,0.94625,1.91166666666667
"1195208",1195207,36.4806534827922,-3.21749383608376,1,1412,0.9025,1.91166666666667
"1195209",1195208,-37.0755755922011,-0.387652087262408,2,1434,0.93625,1.92333333333333
"1195210",1195209,37.3276068186407,-0.106501436613004,1,1406,0.92375,1.92333333333333
"1195211",1195210,-37.2761220271176,-0.249719322383481,2,1468,0.94125,1.92333333333333
"1195212",1195211,38.6274891783361,-0.022399384669818,1,1474,0.95625,1.92333333333333
"1195213",1195212,-37.5266713478109,0.310008088013553,2,1452,0.9475,1.935
"1195214",1195213,37.7752260500872,-0.125632645312873,1,1436,0.935,1.935
"1195215",1195214,-36.8242687019876,-0.940963243924725,2,1432,0.93,1.935
"1195216",1195215,-36.3278288012465,-0.245907473102189,2,1406,0.9175,1.935
"1195217",1195216,-37.4269421364687,-0.663640194925769,2,1450,0.945,1.94666666666667
"1195218",1195217,37.5252709941289,1.13356240471273,1,1428,0.92875,1.94666666666667
"1195219",1195218,36.927747623964,-0.376587349317758,1,1408,0.91375,1.94666666666667
"1195220",1195219,-35.727014069022,-0.109718209053853,2,1366,0.9025,1.94666666666667
"1195221",1195220,-36.5771311010755,-0.219413836029969,2,1400,0.92375,1.95833333333333
"1195222",1195221,37.3242211830574,0.352710249580328,1,1424,0.92375,1.95833333333333
"1195223",1195222,-36.9784190409727,1.0815752708113,2,1438,0.93375,1.95833333333333
"1195224",1195223,-37.4284657281195,0.477724101591956,2,1466,0.945,1.95833333333333
"1195225",1195224,-37.3755522586921,-0.548382440522916,2,1454,0.94375,1.97
