"","X","x","y","Labels","Energy","Magnetization","Temp"
"1195201",1195200,-29.378524568768,-0.219331217727115,1,884,0.991111111111111,1.6
"1195202",1195201,29.692216193095,0.128045994307356,2,864,0.977777777777778,1.6
"1195203",1195202,-29.4450435663962,0.0362100664915438,1,888,0.993333333333333,1.6
"1195204",1195203,-28.7114406211671,-0.165063313864874,1,854,0.968888888888889,1.6
"1195205",1195204,-29.1121446424392,0.160097460894725,1,868,0.982222222222222,1.62166666666667
"1195206",1195205,29.9592078927668,0.256023810662187,2,876,0.986666666666667,1.62166666666667
"1195207",1195206,-29.3117773877859,-0.156417161484461,1,880,0.988888888888889,1.62166666666667
"1195208",1195207,29.8262435910593,-0.135599267573251,2,870,0.982222222222222,1.62166666666667
"1195209",1195208,-29.1117532971023,0.109604448924927,1,868,0.982222222222222,1.64333333333333
"1195210",1195209,29.4922819397353,-0.0999481387857952,2,854,0.971111111111111,1.64333333333333
"1195211",1195210,-29.1785664774659,-0.21941118683244,1,872,0.984444444444444,1.64333333333333
"1195212",1195211,-29.0448061943883,-0.282071527054884,1,864,0.98,1.64333333333333
"1195213",1195212,-29.111938249068,-0.19545236410521,1,872,0.982222222222222,1.665
"1195214",1195213,29.7593118478017,-0.171238742923066,2,866,0.98,1.665
"1195215",1195214,29.559199584942,0.00979703202495433,2,856,0.973333333333333,1.665
"1195216",1195215,-28.7118553700274,-0.2469273228577,1,848,0.968888888888889,1.665
"1195217",1195216,-27.9115984592679,0.651207035449923,1,824,0.942222222222222,1.68666666666667
"1195218",1195217,29.4258752779619,0.186699981193847,2,846,0.968888888888889,1.68666666666667
"1195219",1195218,29.2260589675756,-0.181816522547328,2,846,0.962222222222222,1.68666666666667
"1195220",1195219,-29.1115935101312,-0.46223653446173,1,868,0.982222222222222,1.68666666666667
"1195221",1195220,-28.9782290007924,0.0393911691730571,1,864,0.977777777777778,1.70833333333333
"1195222",1195221,29.0926405303122,0.00887165669077078,2,834,0.957777777777778,1.70833333333333
"1195223",1195222,29.6925940038882,-0.187363619164515,2,862,0.977777777777778,1.70833333333333
"1195224",1195223,29.9593961418568,-0.0479341717658588,2,878,0.986666666666667,1.70833333333333
"1195225",1195224,-28.1780682860044,-0.870337868427701,1,818,0.951111111111111,1.73
"1195226",1195225,29.625601395487,-0.14834612714738,2,862,0.975555555555556,1.73
"1195227",1195226,29.3595517616003,-0.321252328612529,2,846,0.966666666666667,1.73
"1195228",1195227,-29.0452573723268,-0.472336433669442,1,866,0.98,1.73
"1195229",1195228,-28.9786149005159,-0.0874208966909729,1,860,0.977777777777778,1.75166666666667
"1195230",1195229,29.2921299010435,0.429540796548325,2,850,0.964444444444444,1.75166666666667
"1195231",1195230,29.6259623064939,-0.326065428598883,2,860,0.975555555555556,1.75166666666667
"1195232",1195231,-28.378092071426,0.254853519565176,1,844,0.957777777777778,1.75166666666667
"1195233",1195232,-28.4454221183939,-0.100417497712528,1,840,0.96,1.77333333333333
"1195234",1195233,29.4264036113034,-0.499551375614629,2,852,0.968888888888889,1.77333333333333
"1195235",1195234,29.159163832679,0.298148388174864,2,842,0.96,1.77333333333333
"1195236",1195235,-28.7787676608482,0.0816104121464776,1,854,0.971111111111111,1.77333333333333
"1195237",1195236,-28.8454248642191,-0.0887899469428589,1,858,0.973333333333333,1.795
"1195238",1195237,28.6265498076238,-0.267876526180639,2,824,0.942222222222222,1.795
"1195239",1195238,28.7591036019079,0.838439767346336,2,816,0.946666666666667,1.795
"1195240",1195239,-28.5118373391432,0.284741604419093,1,846,0.962222222222222,1.795
"1195241",1195240,-28.4451609206582,0.413093223251229,1,840,0.96,1.81666666666667
"1195242",1195241,29.1594876344169,-0.0731219169858432,2,832,0.96,1.81666666666667
"1195243",1195242,-27.1113215619723,-0.491313151704112,1,802,0.915555555555556,1.81666666666667
"1195244",1195243,-28.1780889938232,-0.434941409275046,1,824,0.951111111111111,1.81666666666667
"1195245",1195244,-28.3119629514608,-0.5004159051072,1,830,0.955555555555556,1.83833333333333
"1195246",1195245,28.3587221563665,0.780247975745459,2,816,0.933333333333333,1.83833333333333
