"","X","x","y","Energy","Magnetization","Temp","Labels"
"108001",108000,-35.0024474183976,0.116622403163798,1464,0.95125,1.9,0
"109442",109441,41.3356814105707,-0.0866298670792259,1468,0.95125,1.9,1
"110883",110882,-34.5509759665715,-0.19717783767697,1442,0.94,1.9,0
"112324",112323,-34.8025532206558,-0.66812736813332,1452,0.94625,1.9,0
"114001",114000,-33.9007950887123,-0.104360753527638,1410,0.92375,1.9,0
"115442",115441,40.233256171369,0.346104095338648,1420,0.92375,1.9,1
"116883",116882,-34.1502898007042,-0.444274991872165,1424,0.93,1.9,0
"118324",118323,-34.5024631106617,-0.301538695021398,1440,0.93875,1.9,0
"120001",120000,-34.3011880877262,0.947883491314526,1432,0.93375,1.9,0
"121442",121441,41.1349745972591,0.153849477526332,1466,0.94625,1.9,1
"122883",122882,-33.5473278525596,-0.506535789788067,1410,0.915,1.9,0
"124324",124323,-34.6004637992096,-0.10825890677425,1456,0.94125,1.9,0
"126001",126000,-34.001209301728,0.815339894320797,1422,0.92625,1.9,0
"127442",127441,41.4852412694326,-0.612181948300686,1488,0.955,1.9,1
"128883",128882,-34.2997350794348,-0.444271322501665,1440,0.93375,1.9,0
"130324",130323,-34.8527598333666,0.0907781888379337,1472,0.9475,1.9,0
"132001",132000,-35.0526072830654,-0.0516809234138756,1472,0.9525,1.9,0
"133442",133441,40.3327639122708,0.818450872725566,1426,0.92625,1.9,1
"134883",134882,-32.6465210738501,-0.766594184442873,1408,0.8925,1.9,0
"136324",136323,-34.5011915138129,-1.24928403774817,1458,0.93875,1.9,0
"138001",138000,-34.5004114684478,-1.05834968847907,1448,0.93875,1.9,0
"139442",139441,41.1838084225378,-0.0621541946985862,1456,0.9475,1.9,1
"140883",140882,-30.2921519495968,-0.275221872071161,1356,0.83375,1.9,0
"142324",142323,-33.6491639150226,-0.889778515498982,1406,0.9175,1.9,0
"144001",144000,-34.9533617116823,-0.397696785788858,1488,0.95,1.9,0
"145442",145441,40.9335859007138,-0.0446328712943122,1448,0.94125,1.9,1
"146883",146882,-34.5010776304554,-0.493935670530477,1464,0.93875,1.9,0
"148324",148323,-34.0994906144763,-0.467940415068193,1420,0.92875,1.9,0
"150001",150000,-34.85145373536,0.208119562143024,1454,0.9475,1.9,0
"151442",151441,41.2858045054682,-0.514819150082597,1468,0.95,1.9,1
"152883",152882,-33.8986266644909,-0.485811852310145,1384,0.92375,1.9,0
"154324",154323,-34.2503270356646,-0.905411762732852,1436,0.9325,1.9,0
"156001",156000,-35.2036585622098,0.281160483775874,1480,0.95625,1.9,0
"157442",157441,41.0333414122225,-0.104834209323054,1452,0.94375,1.9,1
"158883",158882,-34.350322926875,-1.01219213217088,1434,0.935,1.9,0
"160324",160323,-34.9542781299842,-0.262173807202216,1474,0.95,1.9,0
"162001",162000,-34.7514919062463,-0.264742202029604,1458,0.945,1.9,0
"163442",163441,41.3370074591632,0.562592358054476,1468,0.95125,1.9,1
"164883",164882,-35.0029103607484,-0.164216864204233,1472,0.95125,1.9,0
"166324",166323,-35.6548343402684,0.645583739093525,1504,0.9675,1.9,0
"168001",168000,-32.8474189044922,0.245709925561126,1374,0.8975,1.9,0
"169442",169441,40.3322962538144,0.0930797506446943,1414,0.92625,1.9,1
"170883",170882,-33.2991259916892,0.69988637751065,1408,0.90875,1.9,0
"172324",172323,-35.6044234652985,0.1990587207927,1504,0.96625,1.9,0
"174001",174000,-35.0036203643043,-0.115153112314586,1458,0.95125,1.9,0
"175442",175441,40.8343294090355,0.165882285886863,1444,0.93875,1.9,1
"176883",176882,-35.404345047315,-0.98101658138856,1492,0.96125,1.9,0
"178324",178323,-35.0538320969318,0.868970215223337,1474,0.9525,1.9,0
"180001",180000,-34.8518947640227,-0.0131189092113543,1452,0.9475,1.9,0
"181442",181441,40.1813006082919,0.73338990684902,1402,0.9225,1.9,1
"182883",182882,-34.0992461983437,-0.0418129050149411,1434,0.92875,1.9,0
"184324",184323,-35.2537347782661,-0.512599010716936,1486,0.9575,1.9,0
"186001",186000,-34.7008938662993,0.958292029619686,1450,0.94375,1.9,0
"187442",187441,39.7807358592186,-1.20805416918485,1388,0.9125,1.9,1
"188883",188882,-34.5506744779913,0.162160695897116,1450,0.94,1.9,0
"190324",190323,-34.5519009102908,-0.662846595763963,1446,0.94,1.9,0
"192001",192000,-34.6515117608284,0.0499477266543878,1438,0.9425,1.9,0
"193442",193441,41.3859252532714,0.636031348930039,1470,0.9525,1.9,1
"194883",194882,-33.1473913262697,0.15234774214704,1398,0.905,1.9,0
"196324",196323,-34.7001141052887,0.178950639276228,1466,0.94375,1.9,0
"198001",198000,-35.4542013962589,0.0895014356621368,1492,0.9625,1.9,0
"199442",199441,41.2344471957823,-0.190467908850425,1470,0.94875,1.9,1
"200883",200882,-34.7533114862046,0.20215259861962,1454,0.945,1.9,0
"202324",202323,-33.5991062017471,-0.637650339745427,1416,0.91625,1.9,0
"204001",204000,-34.9027355331766,0.0143313342042741,1480,0.94875,1.9,0
"205442",205441,41.1349406160685,0.948911628429984,1460,0.94625,1.9,1
"206883",206882,-34.0496583779438,-0.0255389763508262,1422,0.9275,1.9,0
"208324",208323,-34.1004514349356,0.209908052249173,1440,0.92875,1.9,0
